"user_id","age","gender","country","urban_rural","income_level","employment_status","education_level","relationship_status","has_children","household_size","occupation","ethnicity","language_preference","device_type","weekly_purchases","monthly_spend","cart_abandonment_rate","review_writing_frequency","average_order_value","preferred_payment_method","coupon_usage_frequency","loyalty_program_member","referral_count","product_category_preference","shopping_time_of_day","weekend_shopper","impulse_purchases_per_month","browse_to_buy_ratio","return_frequency","budgeting_style","brand_loyalty_score","impulse_buying_score","environmental_consciousness","health_conscious_shopping","travel_frequency","hobby_count","social_media_influence_score","reading_habits","exercise_frequency","stress_from_financial_decisions","overall_stress_level","sleep_quality","physical_activity_level","mental_health_score","daily_session_time_minutes","product_views_per_day","ad_views_per_day","ad_clicks_per_day","wishlist_items_count","cart_items_average","checkout_abandonments_per_month","purchase_conversion_rate","app_usage_frequency","notification_response_rate","account_age_months","last_purchase_date","social_sharing_frequency","premium_subscription","return_rate"
449435,50,"Male","India","Suburban",65700,"Self-employed","Bachelor","Single",0,10,"Finance","Asian","Mandarin","Mobile",1,3231,28,5,475,"Debit Card",0,1,5,"Toys","Afternoon",1,2,29,9,"Loose",4,3,0,0,5,0,9,10,7,1,2,5,4,2,106,11,3,2,1,2,6,46,6,36,20,"2025-03-02",5,1,34
749877,19,"Male","USA","Urban",22959,"Self-employed","Associate Degree","Widowed",0,4,"Retail","Other","Spanish","Mobile",3,1325,61,3,464,"Credit Card",4,0,2,"Home & Kitchen","Night",1,5,80,11,"Loose",7,6,9,0,6,0,2,18,2,8,9,9,1,6,87,43,2,2,13,9,1,31,1,48,5,"2025-03-12",6,0,85
401205,34,"Female","China","Urban",53190,"Employed","Master","In a relationship",0,9,"Other","African American","Spanish","Desktop",5,4422,70,3,48,"PayPal",4,0,0,"Sports","Morning",0,5,61,3,"Moderate",7,8,10,0,1,1,10,14,1,9,9,8,7,2,24,0,5,5,7,6,8,86,3,61,13,"2026-02-21",2,1,37
668896,53,"Male","USA","Urban",63887,"Unemployed","Bachelor","Single",1,9,"Finance","Asian","English","Desktop",19,4347,62,4,407,"Debit Card",4,0,8,"Sports","Afternoon",0,4,40,8,"Moderate",8,7,6,1,6,5,1,17,2,6,5,4,8,7,35,21,15,3,20,1,5,52,4,31,24,"2026-09-09",4,0,75
377049,20,"Male","India","Suburban",48914,"Self-employed","Bachelor","Widowed",0,2,"Other","Other","English","Mobile",9,3041,65,4,161,"PayPal",3,1,9,"Home & Kitchen","Night",0,5,74,7,"Strict",7,9,2,1,12,4,5,6,1,7,6,5,1,0,85,47,4,2,3,6,5,31,5,69,7,"2025-10-12",4,0,65
90077,49,"Female","Canada","Suburban",17590,"Employed","Bachelor","Married",0,9,"IT","Asian","Spanish","Mobile",15,3143,78,3,142,"Debit Card",1,0,0,"Toys","Evening",1,7,98,4,"Loose",5,10,1,0,7,0,4,7,7,8,9,6,1,1,34,43,7,0,19,9,6,83,5,85,14,"2026-01-09",6,0,12
268360,78,"Male","Canada","Urban",173987,"Retired","High School","Divorced",0,6,"Engineering","African American","Spanish","Tablet",11,1461,46,0,201,"PayPal",2,0,1,"Groceries","Afternoon",0,3,25,8,"Strict",6,7,2,1,1,5,10,17,5,6,7,6,1,4,109,16,5,0,2,1,6,40,2,43,6,"2026-09-02",5,0,79
738879,41,"Male","Australia","Suburban",183625,"Student","Bachelor","Married",1,5,"Finance","African American","French","Mobile",2,900,72,4,126,"Debit Card",0,1,10,"Fashion","Afternoon",0,7,72,3,"Moderate",3,10,2,1,5,2,8,9,4,9,7,8,2,2,21,13,18,1,7,6,7,78,5,2,16,"2025-09-24",6,0,85
815826,73,"Female","India","Urban",79482,"Employed","Bachelor","Widowed",1,1,"Finance","Hispanic","German","Mobile",19,1086,44,6,290,"Apple Pay",3,1,5,"Books","Morning",0,4,17,1,"Loose",6,5,2,0,4,3,2,22,2,3,5,5,5,10,115,27,15,0,13,6,6,76,1,76,24,"2026-03-09",1,0,0
53241,51,"Male","USA","Urban",33157,"Student","Associate Degree","Widowed",1,2,"Finance","African American","Mandarin","Mobile",2,3634,58,5,180,"Apple Pay",3,1,6,"Books","Afternoon",1,4,64,9,"Loose",9,7,5,0,6,3,2,4,4,9,9,5,10,3,71,25,15,1,19,10,1,95,1,43,13,"2026-03-21",2,0,79
684185,28,"Female","China","Urban",159158,"Unemployed","High School","Divorced",0,9,"Other","Asian","Hindi","Tablet",5,230,1,4,330,"Credit Card",1,1,10,"Books","Night",1,3,38,5,"Loose",2,2,7,0,8,5,2,8,4,0,0,4,5,9,64,26,15,4,10,1,0,42,5,33,9,"2026-07-20",6,1,82
368917,60,"Male","Germany","Urban",122641,"Employed","High School","Widowed",1,2,"Marketing","Caucasian","Spanish","Desktop",1,1095,71,2,17,"Apple Pay",2,1,1,"Toys","Morning",1,5,17,10,"Moderate",3,9,10,0,8,5,0,24,6,7,6,5,9,0,80,11,6,5,2,2,10,42,7,1,5,"2025-07-09",6,0,53
917545,66,"Female","UK","Urban",119912,"Self-employed","Master","Married",0,1,"Other","Hispanic","Hindi","Mobile",1,3680,35,7,371,"Apple Pay",1,1,9,"Books","Night",1,2,33,5,"Moderate",4,4,8,1,5,4,7,4,2,4,5,9,1,6,8,3,7,2,16,7,1,28,2,21,8,"2026-03-04",5,1,16
931930,42,"Male","China","Urban",133388,"Employed","High School","Divorced",0,7,"Healthcare","Caucasian","German","Mobile",3,946,54,0,437,"Apple Pay",0,0,7,"Sports","Evening",0,4,71,3,"Strict",4,8,10,0,10,4,10,5,2,6,6,7,3,9,58,44,15,1,10,2,8,61,2,30,11,"2026-04-08",4,0,21
761055,66,"Male","Japan","Urban",70103,"Unemployed","High School","In a relationship",1,9,"Retail","Other","German","Mobile",12,2560,62,0,254,"Debit Card",2,0,7,"Groceries","Afternoon",0,5,35,6,"Loose",4,7,5,0,3,1,4,7,2,7,5,5,8,5,93,15,7,1,19,9,6,49,1,12,5,"2025-05-24",2,1,40
990324,60,"Female","USA","Urban",181271,"Retired","PhD","Divorced",1,1,"Healthcare","Other","French","Desktop",16,4619,20,5,481,"Google Pay",3,0,7,"Home & Kitchen","Afternoon",1,2,61,11,"Strict",1,1,9,1,9,4,7,18,0,3,3,8,9,7,54,33,2,0,14,1,0,8,2,30,13,"2025-03-24",4,1,87
895750,21,"Male","UK","Urban",171240,"Unemployed","Bachelor","In a relationship",1,5,"Education","Hispanic","Hindi","Mobile",16,2908,0,3,282,"Debit Card",2,0,3,"Groceries","Night",1,0,76,12,"Strict",2,0,2,1,2,0,2,22,0,0,0,9,3,8,119,42,6,3,1,5,2,20,2,87,13,"2025-11-15",4,1,34
707016,29,"Male","USA","Urban",166138,"Employed","Associate Degree","Married",0,2,"Engineering","Hispanic","Mandarin","Mobile",8,4410,25,3,224,"Apple Pay",2,1,10,"Fashion","Morning",1,2,35,6,"Strict",10,2,2,1,12,5,3,4,2,3,4,9,0,5,83,32,1,5,8,4,9,62,1,12,6,"2025-02-03",2,1,98
356182,80,"Male","Brazil","Urban",158062,"Self-employed","Bachelor","Divorced",1,6,"Retail","Hispanic","Hindi","Mobile",14,2584,0,6,446,"Credit Card",1,1,3,"Electronics","Evening",1,0,63,11,"Loose",9,0,2,1,9,1,9,8,7,1,3,6,4,10,97,18,9,4,6,5,5,34,7,65,15,"2025-06-07",1,0,88
451743,23,"Male","USA","Suburban",18808,"Retired","Associate Degree","Widowed",0,10,"Finance","Other","Spanish","Mobile",15,3889,41,5,161,"Debit Card",3,1,4,"Home & Kitchen","Night",1,4,90,3,"Loose",1,6,10,1,0,5,1,8,0,6,5,6,1,7,85,2,0,3,20,9,4,71,2,79,9,"2025-03-19",5,0,100
994513,64,"Male","Japan","Rural",179934,"Employed","Bachelor","Single",0,5,"Finance","Other","French","Desktop",10,1260,38,2,32,"Credit Card",1,1,0,"Beauty","Night",1,5,87,11,"Moderate",8,6,6,1,7,2,7,0,7,4,2,4,8,4,49,17,13,4,11,7,3,68,0,87,13,"2025-09-05",4,1,24
370482,51,"Male","USA","Urban",190932,"Employed","High School","Divorced",0,9,"Marketing","African American","German","Mobile",4,4563,0,4,321,"Google Pay",3,1,10,"Groceries","Night",1,0,45,7,"Moderate",3,0,5,1,3,0,1,0,4,0,0,4,1,10,60,10,11,5,13,7,9,36,3,59,20,"2025-12-07",3,0,30
43042,33,"Male","Australia","Urban",167286,"Employed","High School","Widowed",0,5,"Healthcare","Other","Hindi","Tablet",8,229,69,2,249,"Bank Transfer",1,1,9,"Toys","Evening",1,6,93,5,"Loose",2,10,1,1,5,3,9,8,4,9,10,8,5,5,87,25,1,3,2,10,1,93,6,80,11,"2025-11-17",5,0,6
208909,79,"Female","India","Suburban",110092,"Retired","Associate Degree","Single",0,1,"Other","Other","Mandarin","Desktop",8,1883,67,5,59,"Google Pay",0,0,10,"Beauty","Evening",0,5,82,11,"Strict",0,8,1,1,12,3,4,5,4,9,7,7,5,3,87,24,5,0,8,10,8,1,4,13,10,"2025-06-28",5,0,82
268278,26,"Male","China","Suburban",149558,"Student","Associate Degree","In a relationship",1,10,"Retail","Other","English","Desktop",2,4364,49,3,493,"Apple Pay",0,1,2,"Home & Kitchen","Afternoon",1,3,76,3,"Loose",1,7,6,1,4,5,2,24,7,5,5,7,2,3,48,14,2,1,5,7,9,89,3,24,14,"2025-04-12",2,0,34
951027,73,"Male","Germany","Rural",35713,"Retired","High School","Widowed",1,8,"IT","Other","German","Mobile",17,4290,8,0,412,"Google Pay",1,0,10,"Electronics","Night",0,3,91,7,"Strict",8,2,0,0,9,5,7,4,3,1,0,5,4,5,60,46,12,0,12,8,4,80,3,1,13,"2025-12-08",0,0,17
546100,73,"Male","Australia","Suburban",78080,"Self-employed","Bachelor","Married",0,6,"Education","Other","German","Desktop",10,2271,38,5,45,"Apple Pay",3,0,4,"Groceries","Morning",1,4,80,5,"Strict",3,6,1,1,0,1,5,3,1,4,2,6,1,0,91,8,1,3,5,8,1,70,0,99,22,"2026-06-05",0,0,3
390233,41,"Female","Australia","Urban",13379,"Retired","High School","Single",0,5,"Retail","African American","Spanish","Mobile",16,4495,35,0,333,"Debit Card",0,0,7,"Home & Kitchen","Night",1,3,47,10,"Loose",7,5,1,1,1,1,6,17,5,3,2,7,0,7,75,49,8,0,18,6,9,33,5,1,6,"2025-09-09",1,0,86
564183,48,"Female","USA","Rural",42472,"Employed","Master","Married",1,6,"Marketing","Hispanic","German","Mobile",12,4388,67,5,340,"Bank Transfer",3,1,1,"Toys","Afternoon",1,4,84,7,"Strict",4,8,1,1,9,5,3,23,5,9,7,7,1,2,115,22,13,2,5,4,10,71,1,55,11,"2026-04-17",2,1,87
140712,40,"Male","France","Suburban",141236,"Employed","Bachelor","Single",0,4,"Finance","Other","Mandarin","Mobile",4,1190,79,5,63,"Google Pay",2,0,9,"Toys","Night",0,5,78,1,"Moderate",1,10,4,1,9,2,1,6,3,10,9,9,6,8,79,23,8,0,3,8,3,54,3,40,18,"2026-12-27",2,0,11
783007,33,"Female","Australia","Urban",84242,"Unemployed","Master","Divorced",0,9,"Marketing","African American","Hindi","Mobile",13,3007,62,6,164,"Debit Card",3,0,2,"Beauty","Evening",0,6,44,0,"Moderate",3,8,2,1,3,0,4,1,1,9,7,7,0,7,95,38,14,2,16,10,6,63,7,15,4,"2025-10-13",2,1,84
533614,35,"Non-binary","Canada","Suburban",174068,"Retired","Associate Degree","Widowed",1,3,"Engineering","African American","French","Mobile",8,4454,46,4,165,"Bank Transfer",3,0,10,"Groceries","Evening",0,3,16,10,"Strict",2,7,4,1,10,5,2,13,2,7,9,7,8,10,82,14,13,1,8,7,5,37,7,60,9,"2026-08-20",3,0,51
914496,75,"Male","USA","Urban",13182,"Retired","Bachelor","Married",1,8,"Healthcare","Other","Hindi","Desktop",1,928,75,3,109,"Credit Card",0,1,4,"Groceries","Afternoon",0,5,99,1,"Loose",2,8,9,0,6,5,5,11,3,10,10,5,7,2,82,10,1,2,18,2,3,77,0,34,17,"2025-12-31",0,0,10
157582,58,"Other","Germany","Urban",73617,"Self-employed","Associate Degree","Single",0,5,"Retail","Caucasian","Hindi","Mobile",0,1259,42,5,414,"PayPal",3,0,1,"Electronics","Evening",1,3,43,12,"Moderate",3,5,2,1,2,2,0,23,6,7,6,6,5,3,4,19,0,3,1,10,9,52,6,98,19,"2026-05-22",4,0,57
807392,48,"Female","India","Urban",17368,"Student","High School","Widowed",1,6,"Healthcare","Caucasian","English","Mobile",1,4989,31,1,156,"Credit Card",4,1,8,"Books","Afternoon",0,2,23,6,"Strict",2,4,3,1,5,1,2,23,2,4,5,7,7,10,60,4,9,1,13,5,1,42,1,7,18,"2025-09-21",6,0,94
407619,19,"Male","India","Suburban",196571,"Student","Master","Divorced",1,2,"Other","Hispanic","German","Desktop",12,2833,62,4,255,"Debit Card",2,1,4,"Home & Kitchen","Morning",1,4,40,4,"Loose",8,7,7,1,10,0,6,14,6,6,8,7,10,1,88,2,4,0,9,10,8,2,0,71,8,"2026-10-18",6,1,85
457718,51,"Female","France","Suburban",91573,"Employed","High School","Divorced",0,1,"Education","Caucasian","Mandarin","Mobile",0,2752,13,4,137,"Google Pay",1,1,2,"Toys","Afternoon",1,3,76,3,"Loose",8,2,10,0,1,2,10,17,1,0,0,8,8,6,20,44,10,4,17,8,2,24,2,78,18,"2026-08-24",1,1,3
595791,77,"Non-binary","France","Urban",24321,"Unemployed","High School","Single",0,3,"Other","Asian","Spanish","Mobile",15,3476,7,4,216,"Credit Card",0,0,5,"Sports","Evening",1,2,73,2,"Strict",8,1,4,0,8,2,3,15,1,2,3,8,4,5,114,31,18,3,15,4,4,53,2,79,10,"2025-06-18",2,0,44
307365,74,"Male","Japan","Urban",165718,"Employed","Associate Degree","Divorced",0,8,"Marketing","Asian","Hindi","Desktop",18,1238,61,3,348,"Credit Card",1,1,0,"Toys","Night",0,4,46,10,"Strict",5,6,4,0,12,2,5,20,7,8,10,8,5,3,8,33,6,0,10,10,2,43,1,96,20,"2026-01-26",2,0,46
517171,69,"Male","Australia","Rural",31848,"Retired","Bachelor","Married",0,5,"Marketing","Hispanic","English","Mobile",10,1829,40,4,10,"Bank Transfer",1,1,7,"Sports","Afternoon",0,3,56,1,"Strict",7,4,8,0,2,5,8,8,6,5,7,5,6,5,44,13,18,0,17,9,10,14,3,27,24,"2026-07-25",3,1,67
638130,64,"Female","Canada","Suburban",38901,"Unemployed","Bachelor","Divorced",0,2,"Engineering","Other","Mandarin","Mobile",18,788,23,2,493,"Debit Card",3,1,8,"Toys","Night",1,4,68,6,"Moderate",8,4,1,0,1,3,10,1,5,2,4,8,10,2,43,43,18,0,2,3,10,11,2,79,3,"2025-08-01",4,1,50
633068,73,"Female","USA","Urban",133058,"Retired","Master","In a relationship",0,10,"Retail","Hispanic","Mandarin","Tablet",1,265,12,7,128,"Apple Pay",2,0,7,"Books","Evening",1,1,86,2,"Loose",5,1,7,0,9,1,3,8,5,0,0,5,7,6,81,9,15,5,11,2,7,22,4,98,23,"2025-11-26",0,1,19
117066,49,"Female","Canada","Urban",128331,"Student","Master","Widowed",1,8,"Healthcare","Hispanic","French","Mobile",2,2248,55,5,155,"PayPal",3,0,6,"Electronics","Morning",0,3,79,12,"Strict",5,7,3,1,3,3,3,13,5,6,6,4,5,0,38,42,18,4,5,7,8,0,4,24,10,"2025-09-10",3,1,39
356479,33,"Female","Brazil","Urban",140455,"Student","High School","In a relationship",0,2,"Finance","African American","German","Mobile",18,923,75,3,178,"Google Pay",2,0,2,"Toys","Afternoon",1,5,74,3,"Moderate",10,10,6,0,11,0,9,6,0,8,7,7,1,0,37,33,11,3,16,6,7,57,0,85,13,"2025-06-25",7,0,38
747732,58,"Male","Australia","Suburban",31203,"Unemployed","High School","Widowed",1,6,"Healthcare","Hispanic","French","Mobile",13,1734,18,0,476,"Bank Transfer",4,0,5,"Fashion","Morning",1,1,14,2,"Strict",5,2,1,1,11,3,4,6,6,0,2,4,3,1,62,38,6,5,1,1,2,96,3,29,13,"2025-02-06",1,0,75
864017,35,"Male","Brazil","Urban",12744,"Employed","Associate Degree","Single",0,6,"Marketing","Hispanic","German","Tablet",13,4462,82,5,362,"Apple Pay",3,1,9,"Sports","Night",0,6,71,9,"Strict",8,10,1,1,1,3,8,8,0,9,10,6,7,8,22,27,4,5,16,4,4,86,6,24,19,"2026-04-18",3,0,4
867118,39,"Male","Australia","Rural",124126,"Student","Associate Degree","Widowed",0,3,"Other","Other","German","Mobile",7,4110,61,3,96,"Apple Pay",2,1,1,"Groceries","Night",1,5,66,3,"Loose",0,7,2,1,8,5,9,18,1,6,4,5,4,5,7,28,8,0,3,1,10,9,1,9,11,"2026-11-29",3,0,40
332707,74,"Female","UK","Rural",74638,"Student","Master","Divorced",1,2,"Retail","African American","English","Mobile",18,4556,59,4,242,"Bank Transfer",3,1,1,"Sports","Afternoon",1,3,26,0,"Strict",5,6,4,0,1,1,9,16,2,8,9,7,4,4,9,17,6,3,8,10,5,78,2,91,19,"2025-01-05",1,1,19
506734,42,"Male","Australia","Suburban",148162,"Student","Master","Divorced",0,1,"IT","Asian","English","Mobile",8,3935,28,7,332,"PayPal",4,0,9,"Beauty","Evening",0,3,30,7,"Moderate",3,2,4,0,12,2,8,2,0,4,5,6,6,1,74,2,18,1,19,3,6,15,2,74,10,"2025-09-04",1,1,11
163678,60,"Female","Brazil","Rural",98146,"Retired","High School","Married",1,5,"Healthcare","Hispanic","French","Desktop",19,438,7,4,149,"Debit Card",1,0,5,"Books","Evening",0,0,60,9,"Strict",1,0,9,0,11,5,6,12,2,1,0,6,9,4,117,41,4,5,3,10,4,92,6,5,9,"2025-06-23",6,1,3
933656,75,"Female","UK","Urban",175573,"Self-employed","Associate Degree","In a relationship",0,5,"Engineering","African American","German","Mobile",19,1537,22,3,470,"Google Pay",0,1,10,"Electronics","Morning",0,2,89,12,"Strict",0,3,1,1,1,3,7,2,5,3,2,7,0,5,66,23,18,2,2,1,7,52,2,0,8,"2026-12-23",3,0,35
25559,38,"Female","India","Suburban",75363,"Unemployed","High School","Widowed",0,1,"Finance","Other","French","Mobile",14,2629,1,1,316,"Debit Card",3,1,0,"Electronics","Evening",1,1,69,0,"Strict",3,0,5,1,3,4,5,15,2,1,3,9,4,9,74,2,6,4,10,3,10,4,3,49,4,"2025-12-27",2,0,25
669575,42,"Male","Canada","Urban",188736,"Self-employed","High School","Single",0,10,"Retail","Other","Spanish","Desktop",17,4450,80,4,204,"Google Pay",1,0,8,"Sports","Evening",1,7,31,2,"Strict",4,10,1,0,1,1,10,8,1,10,8,9,6,9,115,2,12,3,15,4,6,44,4,72,15,"2025-08-13",3,0,88
